name;surname;date;hours_amount
Szymon;Nowakowski;01-12-2021;3,5
Aleksander;Urbanski;01-12-2021;2
Jacek;Romanowski;01-12-2021;0
Kazimierz;Szczepanski;01-12-2021;1
Szymon;Nowakowski;01-12-2021;3,5
Szymon;Nowakowski;01-12-2021;3,5
Juliusz;Krol;02-12-2021;2
Aleksander;Urbanski;02-12-2021;3,5
Przemyslaw;Romanowski;02-12-2021;0
Szymon;Nowakowski;02-12-2021;3
Jacek;Romanowski;02-12-2021;0,5
Aleksander;Urbanski;03-12-2021;0,5
Przemyslaw;Romanowski;03-12-2021;3,25
Antoni;Niewiadomski;03-12-2021;2
Adam;Kaczmarek;03-12-2021;1
Szymon;Nowakowski;04-12-2021;2,5
Szymon;Nowakowski;04-12-2021;2,5
Przemyslaw;Romanowski;04-12-2021;3
Adam;Kaczmarek;04-12-2021;2
Szymon;Nowakowski;05-12-2021;0
Szymon;Nowakowski;05-12-2021;0
Juliusz;Krol;05-12-2021;1
Antoni;Niewiadomski;05-12-2021;0
Adam;Kaczmarek;06-12-2021;3
Adam;Kaczmarek;06-12-2021;3
Przemyslaw;Romanowski;06-12-2021;1
Kazimierz;Szczepanski;06-12-2021;1
Kazimierz;Szczepanski;06-12-2021;1
Adam;Kaczmarek;07-12-2021;1,75
Juliusz;Krol;07-12-2021;2
Szymon;Nowakowski;07-12-2021;0
Antoni;Niewiadomski;07-12-2021;1
Przemyslaw;Romanowski;07-12-2021;0
Przemyslaw;Romanowski;07-12-2021;0
Przemyslaw;Romanowski;08-12-2021;1
Kazimierz;Szczepanski;08-12-2021;1,5
Adam;Kaczmarek;08-12-2021;0,5
Juliusz;Krol;08-12-2021;4
Juliusz;Krol;09-12-2021;0
Juliusz;Krol;09-12-2021;0
Adam;Kaczmarek;09-12-2021;1,5
Szymon;Nowakowski;09-12-2021;3
Kazimierz;Szczepanski;09-12-2021;1,5
Przemyslaw;Romanowski;10-12-2021;3
Juliusz;Krol;10-12-2021;0,75
Adam;Kaczmarek;10-12-2021;1
Szymon;Nowakowski;10-12-2021;0,5
Antoni;Niewiadomski;11-12-2021;1
Juliusz;Krol;11-12-2021;2,5
Antoni;Niewiadomski;11-12-2021;1
Szymon;Nowakowski;11-12-2021;2,5
Przemyslaw;Romanowski;12-12-2021;0,25
Szymon;Nowakowski;12-12-2021;6,5
Juliusz;Krol;12-12-2021;1
