registration;brand;model;type;year_of_production;name;surname;introduction_date;expiration_date
GDX308Q;Porsche;Panamera;Osobowy;2006;Kamil;Szczepanski;01-12-2021;
GDX0EC1;Mercedes-Benz;S-Class;Osobowy;1990;Bartlomiej;Malinowski;01-12-2021;
GDZSFAE;Kia;Sportage;Osobowy;2005;Karol;Skowronski;01-12-2021;
GDOTA1G;Hyundai;Sonata;Osobowy;1994;Filip;Rutkowski;01-12-2021;
GDNPJJZ;Land Rover;Defender;Osobowy;1992;Patryk;Ostrowski;01-12-2021;
GDUC07C;Tesla;Model Y;Osobowy;1999;Andrzej;Skowronski;01-12-2021;
GDD79ZF;Ford;F-150;Ciezarowy;1995;Kamil;Jakubowski;01-12-2021;
GDQPTNO;Lexus;GX;Osobowy;2000;Marcin;Grzybowski;01-12-2021;
GD2Y78N;Acura;RDX;Osobowy;1995;Kamil;Janik;01-12-2021;
GDSSVKS;Volkswagen;Passat;Osobowy;2017;Roman;Ostrowski;01-12-2021;
GDJUIRM;Land Rover;Range Rover;Osobowy;1990;Adam;Cieslak;01-12-2021;
GD8BQ9P;Jeep;Renegade;Osobowy;2006;Adrian;Krol;01-12-2021;
GD5CDFN;Jaguar;F-Type;Osobowy;2015;Julian;Mikolajczyk;01-12-2021;
GD4AZ3Q;Buick;Encore;Osobowy;1996;Jan;Kaczmarczyk;01-12-2021;
GDCSXPY;Buick;Enclave;Osobowy;2016;Juliusz;Kazmierczak;01-12-2021;
GDOBSV5;Cadillac;CT6;Osobowy;1995;Juliusz;Kaminski;01-12-2021;
GDRGLWX;Subaru;Impreza;Osobowy;2013;Hubert;Dabrowski;01-12-2021;
GD7QL4E;Cadillac;XT5;Osobowy;1992;Adam;Sikorski;01-12-2021;
GDQGF24;Honda;CR-V;Osobowy;2015;Maciej;Kaczmarek;01-12-2021;
GDY07FG;Chevrolet;Equinox;Osobowy;2020;Juliusz;Janik;01-12-2021;
GDRBL87;Toyota;Corolla;Osobowy;2000;Roman;Grabowski;01-12-2021;
GDH3KUS;Volvo;XC90;Osobowy;1998;Emil;Rutkowski;01-12-2021;
GDWV9HE;Chevrolet;Tahoe;Osobowy;2005;Andrzej;Jaworski;01-12-2021;
GDQ0Y8B;Porsche;911;Osobowy;2018;Przemyslaw;Wojcicki;01-12-2021;
GD8D6Q5;Subaru;Forester;Osobowy;1993;Hubert;Nowak;01-12-2021;
GDGPDRE;Acura;MDX;Osobowy;2011;Julian;Kowalczyk;01-12-2021;
GD0V781;BMW;X5;Osobowy;2016;Adrian;Pawlowski;01-12-2021;
GDUPI9H;GMC;Canyon;Ciezarowy;2019;Hubert;Szewczyk;01-12-2021;
GD1583Z;Nissan;Rogue;Osobowy;2019;Damian;Krawczyk;01-12-2021;
GDTC016;Jeep;Cherokee;Osobowy;2013;Kacper;Cieslak;01-12-2021;
GDJ76J2;GMC;Acadia;Osobowy;2020;Filip;Czarnecki;01-12-2021;
GDS3Y9P;Mercedes-Benz;E-Class;Osobowy;1997;Radoslaw;Krzesinski;01-12-2021;
GDFBC3U;Volkswagen;Golf;Osobowy;1995;Lukasz;Kwiatkowski;01-12-2021;
GDOQ5V3;GMC;Yukon;Osobowy;2016;Igor;Golebiowski;01-12-2021;
GDGGQTH;Subaru;Crosstrek;Osobowy;2007;Tymon;Stepnien;01-12-2021;
GDNSGWH;Tesla;Model 3;Osobowy;2022;Tomasz;Sobczyk;01-12-2021;
GDF1VGP;Kia;Sorento;Osobowy;2008;Juliusz;Sokolowski;01-12-2021;
GDLT661;Tesla;Model S;Osobowy;1998;Julian;Nowakowski;01-12-2021;
GD2DMIL;Dodge;Challenger;Osobowy;2007;Artur;Nowacki;01-12-2021;
GDI3NKZ;Chrysler;Voyager;Osobowy;2017;Tymon;Ostrowski;01-12-2021;
GDSZ988;Land Rover;Discovery;Osobowy;2015;Andrzej;Wojciechowski;01-12-2021;
GD57VK4;Lexus;LS;Osobowy;2010;Tomasz;Krawczyk;01-12-2021;
GDNLA5Q;Toyota;RAV4;Osobowy;2006;Jan;Krawczyk;01-12-2021;
GDC4X93;Volkswagen;Jetta;Osobowy;2009;Jacek;Nowakowski;01-12-2021;
GDDGQ5H;Acura;ILX;Osobowy;2006;Milosz;Adamczyk;01-12-2021;
GDIVGZ6;Jaguar;XF;Osobowy;2020;Damian;Sobczyk;01-12-2021;
GD3PJW3;Chevrolet;Silverado;Ciezarowy;2001;Emil;Kaminski;01-12-2021;
GDGNPRW;Mercedes-Benz;C-Class;Osobowy;2013;Julian;Kaczor;01-12-2021;
GDO5SGO;Mini;Countryman;Osobowy;2009;Gabriel;Adamczyk;01-12-2021;
GDYYXAG;Ford;Explorer;Osobowy;2018;Adam;Zajac;01-12-2021;
GD3IF72;Fiat;124 Spider;Osobowy;1993;Dawid;Michalak;01-12-2021;
GD4ZS6H;Toyota;Camry;Osobowy;2006;Dominik;Nowacki;01-12-2021;
GDJNFQE;Lexus;ES;Osobowy;2022;Bartlomiej;Niewiadomski;01-12-2021;
GDEKSEI;Mercedes-Benz;GLC;Osobowy;2008;Marek;Baran;01-12-2021;
GD7LN7O;Volkswagen;Tiguan;Osobowy;2001;Borys;Pajak;01-12-2021;
GDDSB7Y;Cadillac;Escalade;Osobowy;1999;Marcin;Kaczmarek;01-12-2021;
GDRCI78;Jeep;Grand Cherokee;Osobowy;1996;Dawid;Tomaszewski;01-12-2021;
GD8TYQ0;Hyundai;Kona;Osobowy;2021;Marek;Golebiowski;01-12-2021;
GDSWVAB;GMC;Sierra;Ciezarowy;2006;Lukasz;Kaczor;01-12-2021;
GDCI6CR;Mazda;MX-5;Osobowy;2002;Krzysztof;Wojcik;01-12-2021;
GD3FP7C;Volvo;S60;Osobowy;1995;Gabriel;Zajac;01-12-2021;
GDHGZME;Audi;A6;Osobowy;2018;Kajetan;Kozlowski;01-12-2021;
GDO3JS8;Hyundai;Tucson;Osobowy;2019;Grzegorz;Nowakowski;01-12-2021;
GD4VPA8;Audi;Q7;Osobowy;2009;Gabriel;Urbanski;01-12-2021;
GDX5903;Honda;Civic;Osobowy;2007;Juliusz;Nowacki;01-12-2021;
GD6PDJP;Honda;Accord;Osobowy;1993;Filip;Gorski;01-12-2021;
GDXDUFY;Lexus;RX;Osobowy;1999;Marek;Krol;01-12-2021;
GD2IXLH;Chevrolet;Colorado;Ciezarowy;2009;Kamil;Jankowski;01-12-2021;
GDE7GMO;BMW;3 Series;Osobowy;2002;Wojciech;Wilk;01-12-2021;
GDZBURA;Dodge;Durango;Osobowy;2004;Aleksander;Adamczyk;01-12-2021;
GDYGEGK;BMW;X3;Osobowy;2015;Ernest;Chmielewski;01-12-2021;
GDGM9RM;Tesla;Model X;Osobowy;2007;Hubert;Sobczyk;01-12-2021;
GDDUIKW;Mini;Clubman;Osobowy;2009;Jerzy;Jakubowski;01-12-2021;
GDXL9DF;BMW;5 Series;Osobowy;2019;Emil;Grabowski;01-12-2021;
GDL9AKL;Hyundai;Elantra;Osobowy;2009;Oskar;Nowicki;01-12-2021;
GDVG4C7;Subaru;Outback;Osobowy;1995;Ernest;Kwiatkowski;01-12-2021;
GD4X78I;Chrysler;300;Osobowy;2011;Kamil;Piotrowski;01-12-2021;
GDZ3XVE;Honda;Fit;Osobowy;1996;Ernest;Jankowski;01-12-2021;
GDI193N;Kia;Telluride;Osobowy;2005;Ryszard;Rozanski;01-12-2021;
GDWOOY2;Jeep;Wrangler;Osobowy;1990;Ernest;Wlodarczyk;01-12-2021;
GDHAHH2;Fiat;500X;Osobowy;2002;Adrian;Wlodarczyk;01-12-2021;
GD3CBW4;Toyota;4Runner;Osobowy;2020;Julian;Urbanski;01-12-2021;
GDIRLL9;Buick;Regal;Osobowy;2013;Hubert;Kwiatkowski;01-12-2021;
GDMGNFB;Nissan;Murano;Osobowy;2001;Karol;Mazur;01-12-2021;
GDD40IT;Audi;A4;Osobowy;2022;Kacper;Adamczyk;01-12-2021;
GD90T4A;Ford;Edge;Osobowy;1994;Maksymilian;Kowalski;01-12-2021;
GDN3MV4;Jaguar;XE;Osobowy;2015;Marcin;Majewski;01-12-2021;
GDQB2WJ;Porsche;Cayenne;Osobowy;1994;Andrzej;Michalski;01-12-2021;
GDIAC5X;Kia;Optima;Osobowy;2006;Maksymilian;Wojciechowski;01-12-2021;
